iter	Logloss
1823	0.1063459804
1824	0.1063271415
1825	0.1062991331
1826	0.106266313
1827	0.1062499184
1828	0.1062492233
1829	0.1062313196
1830	0.1062212488
1831	0.1062034525
1832	0.1061417403
1833	0.1061263055
1834	0.1061047238
1835	0.1060860272
1836	0.1060468953
1837	0.106014589
1838	0.1059894454
1839	0.1059581784
1840	0.1059287107
1841	0.1058886625
1842	0.1058476381
1843	0.1058242117
1844	0.1058211071
1845	0.105796248
1846	0.1057643635
1847	0.1057161638
1848	0.1056440098
1849	0.1056258953
1850	0.1055428008
1851	0.1055249473
1852	0.1054768866
1853	0.105445028
1854	0.1054236151
1855	0.1054157761
1856	0.1053995936
1857	0.1053657384
1858	0.105316692
1859	0.1052751645
1860	0.1052399094
1861	0.1052184727
1862	0.1051812229
1863	0.1051504374
1864	0.1051396092
1865	0.1051227852
1866	0.1050966513
1867	0.1050111109
1868	0.1049929927
1869	0.1049636524
1870	0.1049423073
1871	0.1048928962
1872	0.1048635502
1873	0.1047920365
1874	0.1047461694
1875	0.1047284456
1876	0.1047004037
1877	0.1046633449
1878	0.1046545453
1879	0.1046161666
1880	0.104590265
1881	0.1045530686
1882	0.1045155687
1883	0.1044989422
1884	0.1044787437
1885	0.1044277946
1886	0.1044124371
1887	0.104387172
1888	0.1043490884
1889	0.1043109954
1890	0.1042592887
1891	0.1042314521
1892	0.1042156428
1893	0.1041660159
1894	0.104127345
1895	0.1041018465
1896	0.1040662369
1897	0.1040623519
1898	0.1040337066
1899	0.1039966884
1900	0.1039410346
1901	0.1039233849
1902	0.1038800242
1903	0.1038485444
1904	0.1038053392
1905	0.1037945993
1906	0.1037870722
1907	0.103781818
1908	0.1037537447
1909	0.1037082469
1910	0.1036989658
1911	0.10368765
1912	0.1036471812
1913	0.1036156077
1914	0.1036029481
1915	0.103563706
1916	0.1035381362
1917	0.10349666
1918	0.1034871501
1919	0.1034522029
1920	0.1034188421
1921	0.1034033356
1922	0.1033760421
1923	0.103343007
1924	0.1033239137
1925	0.1032962324
1926	0.1032572362
1927	0.1032158362
1928	0.1031527809
1929	0.1031321582
1930	0.1030548142
1931	0.103027027
1932	0.1030097088
1933	0.1029959562
1934	0.1029883977
1935	0.1029787398
1936	0.1029589975
1937	0.1029320424
1938	0.1029048276
1939	0.1028863874
1940	0.1028408633
1941	0.1027908367
1942	0.1027457925
1943	0.1027299219
1944	0.1027059017
1945	0.1026921884
1946	0.1026752977
1947	0.1026323283
1948	0.1026066102
1949	0.1025756572
1950	0.1025430305
1951	0.1025363994
1952	0.1025041764
1953	0.1024755094
1954	0.1024655408
1955	0.1024553632
1956	0.1024223861
1957	0.102386284
1958	0.1023667672
1959	0.1023390054
1960	0.1023027526
1961	0.102274761
1962	0.1022462336
